"No.","Time","Source","Destination","Protocol","Length","Info"
"1839","14.392272","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1840","14.392361","192.168.1.13","103.163.249.77","UDP","76","57189  >  443 Len=34"
"1841","14.392795","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1842","14.393317","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1843","14.393836","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1844","14.394680","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1845","14.395201","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1846","14.395798","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1847","14.396321","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1848","14.396846","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1849","14.396969","192.168.1.13","103.163.249.77","UDP","75","57189  >  443 Len=33"
"1850","14.397385","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1851","14.398227","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1852","14.398733","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1853","14.399339","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1854","14.399867","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1855","14.400396","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1856","14.400915","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1857","14.401752","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1858","14.401848","192.168.1.13","103.163.249.77","UDP","75","57189  >  443 Len=33"
"1859","14.405316","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
"1860","14.405836","103.163.249.77","192.168.1.13","UDP","1292","443  >  57189 Len=1250"
